onset_date,onset_time,peak_flux
2012-01-02,15:37:31,188.5765
2012-01-22,03:07:34,9335.0244140625
2012-01-23,03:22:32,127465.25
2012-01-27,18:37:33,43447.6640625
2012-02-26,19:07:40,19203.47265625
2012-03-04,12:52:40,1228.316162109375
2012-03-06,06:22:37,3179.821044921875
2012-03-12,04:07:49,35617.6015625
2012-03-13,17:07:41,25712.623046875
2012-03-30,00:22:50,1875.2906494140625
2012-04-02,10:22:42,941.907958984375
2012-04-05,01:07:33,478.6171569824219
2012-04-07,05:52:34,208.96112060546875
2012-04-09,13:07:35,223.1088714599609
2012-04-10,12:07:47,729.5496826171875
2012-04-11,05:52:34,1270.1224365234375
2012-04-20,09:45:54,248.094955444336
2012-04-23,00:52:45,357.9154663085937
2012-04-23,23:07:30,180.9527130126953
2012-05-07,13:37:50,971.1260986328124
2012-05-14,08:52:38,341.5061950683594
2012-05-17,00:52:47,15684.1748046875
2012-05-26,20:52:34,3502.6923828125
2012-06-01,22:37:39,186.2938995361328
2012-06-08,05:22:41,354.34814453125
2012-06-14,14:07:36,340.0318603515625
2012-06-17,08:22:39,4135.8193359375
2012-07-02,18:52:36,781.6224365234375
2012-07-03,21:07:36,463.5953369140625
2012-07-04,17:07:36,376.2704772949219
2012-07-05,22:52:34,2127.37548828125
2012-07-06,23:22:33,28025.830078125
2012-07-08,17:37:32,8396.681640625
2012-07-12,16:52:41,6930.3095703125
2012-07-14,08:22:39,29457.478515625
2012-07-17,14:22:36,5776.115234375
2012-07-20,03:52:32,19991.830078125
2012-07-23,03:52:30,2281.9052734375
2012-07-28,22:07:37,2373.095703125
2012-07-29,19:22:37,1679.720703125
2012-08-02,11:37:36,1705.4739990234375
2012-08-05,22:07:41,548.2650756835938
2012-08-08,02:37:33,351.1100158691406
2012-08-19,06:37:39,247.93312072753903
2012-08-31,20:37:39,840.9452514648438
2012-09-01,06:52:35,4273.33349609375
2012-09-03,11:22:39,34162.03125
2012-09-07,05:22:35,592.5090942382812
2012-09-08,10:22:32,522.71923828125
2012-09-12,03:52:31,229.7950439453125
2012-09-19,04:00:00,261.4447937011719
2012-09-26,00:09:18,5777.59716796875
2012-09-28,00:07:38,13954.333984375
2012-09-30,12:00:00,4291.58984375
2012-10-01,04:22:37,3788.48193359375
2012-10-06,05:52:38,732.685302734375
2012-10-08,15:22:39,4357.9072265625
2012-10-09,08:07:40,3006.146484375
2012-10-10,00:07:41,298.95147705078125
2012-11-08,11:37:39,370.8698425292969
2012-11-11,18:22:40,286.9936828613281
2012-11-13,16:08:32,401.21142578125
2012-11-18,04:07:33,447.7654724121094
2012-11-20,12:00:00,1898.06689453125
2012-11-21,04:52:34,497.7936096191406
2012-11-24,14:00:00,500.0
2012-12-14,04:23:54,7556.45654296875
